Case 02,Test 01,Test 02,Test 03,Test 04,Test 05,Test 06,Test 07,Test 08,Test 09,Test 10,Test 11,Test 12,Test 13,Test 14,Test 15,Test 16,Test 17,Test 18,Test 19,Test 20
Amortise opt. 36,1.03097E-06,1.01362E-06,1.02583E-06,9.6958E-07,9.23047E-07,9.25608E-07,1.11555E-06,9.83168E-07,9.51817E-07,9.40763E-07,1.00723E-06,1.14089E-06,1.05085E-06,9.16262E-07,1.12943E-06,1.02486E-06,1.00958E-06,1.03508E-06,1.06441E-06,1.15963E-06
Amortise opt. 37,1.02827E-06,1.00768E-06,1.03985E-06,1.00111E-06,9.33714E-07,8.85903E-07,1.12766E-06,9.89699E-07,9.72428E-07,9.33622E-07,1.03141E-06,1.14374E-06,1.04686E-06,9.31313E-07,1.11728E-06,1.01639E-06,1.00979E-06,1.11575E-06,9.86707E-07,1.16038E-06
Amortise opt. 38,1.02908E-06,1.01387E-06,1.02892E-06,9.8252E-07,9.38368E-07,8.87669E-07,1.12731E-06,9.84713E-07,9.23212E-07,9.32883E-07,1.03958E-06,1.14686E-06,1.05162E-06,1.17207E-06,1.11509E-06,1.13294E-06,1.0115E-06,1.08116E-06,9.90553E-07,1.16168E-06
Amortise opt. 39,1.03351E-06,1.01265E-06,1.02187E-06,1.17886E-06,1.02396E-06,8.86604E-07,1.05559E-06,1.00224E-06,9.20354E-07,9.33136E-07,1.02724E-06,1.14491E-06,1.04748E-06,9.28426E-07,1.1201E-06,1.14609E-06,1.01709E-06,1.09384E-06,9.9161E-07,1.02243E-06
Amortise opt. 40,1.01807E-06,9.46401E-07,1.02936E-06,9.33876E-07,1.0291E-06,1.14007E-06,1.05552E-06,1.01186E-06,9.38254E-07,9.3219E-07,1.02814E-06,1.12157E-06,1.01436E-06,9.90266E-07,1.11931E-06,1.13187E-06,1.01752E-06,1.06377E-06,3.26337E-06,1.02626E-06
Amortise opt. 41,1.02124E-06,9.1906E-07,1.01824E-06,1.16392E-06,1.02045E-06,1.15467E-06,1.04879E-06,1.00226E-06,9.02424E-07,9.35695E-07,1.02806E-06,1.21078E-06,1.01879E-06,1.30945E-06,1.11718E-06,1.13168E-06,1.01041E-06,1.06302E-06,3.27345E-06,1.01919E-06
Amortise opt. 42,1.01162E-06,9.33429E-07,1.01847E-06,9.37601E-07,1.02087E-06,1.13488E-06,1.05146E-06,1.00383E-06,9.02524E-07,9.33824E-07,1.0544E-06,1.23566E-06,1.00942E-06,1.10964E-06,1.04459E-06,1.13643E-06,1.00994E-06,1.0797E-06,3.24854E-06,1.01676E-06
Amortise opt. 43,1.01672E-06,9.20447E-07,1.02144E-06,9.36106E-07,1.01959E-06,1.13677E-06,1.04529E-06,1.0119E-06,9.23538E-07,1.10554E-06,9.86189E-07,1.24452E-06,1.00471E-06,1.12698E-06,1.09273E-06,1.11825E-06,1.01463E-06,1.03336E-06,3.25431E-06,1.01843E-06
Amortise opt. 44,1.01148E-06,9.22786E-07,1.00573E-06,1.17872E-06,1.02002E-06,1.15114E-06,1.04741E-06,9.99023E-07,9.88258E-07,1.11648E-06,1.01291E-06,1.21884E-06,1.01506E-06,1.09443E-06,1.06139E-06,1.12852E-06,1.0131E-06,1.03371E-06,3.25815E-06,1.0166E-06
Amortise opt. 45,1.00439E-06,9.38816E-07,1.00717E-06,9.42904E-07,1.0313E-06,1.13163E-06,1.04405E-06,9.95524E-07,1.06483E-06,1.12478E-06,9.86606E-07,1.23301E-06,1.01607E-06,1.10015E-06,1.06643E-06,1.13666E-06,8.6746E-07,1.07561E-06,1.07172E-06,1.01019E-06
Amortise opt. 46,1.00856E-06,9.69681E-07,9.92815E-07,9.15784E-07,9.81286E-07,1.12106E-06,1.04497E-06,1.00009E-06,1.07971E-06,1.02532E-06,1.01548E-06,1.21293E-06,9.95043E-07,1.10054E-06,1.02796E-06,1.13909E-06,8.86022E-07,1.04018E-06,1.07786E-06,1.01315E-06
Amortise opt. 47,1.01224E-06,9.94226E-07,9.94754E-07,9.273E-07,9.93627E-07,1.12474E-06,1.04334E-06,9.82492E-07,1.06881E-06,1.03385E-06,1.04263E-06,1.23754E-06,1.00127E-06,1.08366E-06,1.01724E-06,9.60963E-07,8.89653E-07,1.27923E-06,1.05703E-06,1.01929E-06
Amortise opt. 48,1.00932E-06,9.45843E-07,9.9481E-07,9.17385E-07,9.52635E-07,1.12913E-06,1.044E-06,9.84793E-07,9.2989E-07,1.02128E-06,1.04543E-06,1.28096E-06,9.76779E-07,1.08697E-06,9.59232E-07,9.42038E-07,1.02657E-06,1.296E-06,1.03302E-06,1.18193E-06
Amortise opt. 49,1.01629E-06,9.4237E-07,9.90403E-07,9.22334E-07,9.47823E-07,9.28203E-07,1.0441E-06,9.84947E-07,9.28511E-07,1.01887E-06,9.86926E-07,1.09811E-06,9.76839E-07,1.09701E-06,9.95738E-07,9.53054E-07,1.01701E-06,1.26153E-06,1.03857E-06,1.19577E-06
Amortise opt. 50,1.00234E-06,9.75037E-07,9.98162E-07,9.32449E-07,9.60369E-07,9.33051E-07,1.03892E-06,1.01009E-06,9.10272E-07,1.02E-06,1.01377E-06,1.10165E-06,9.88763E-07,1.03605E-06,9.59774E-07,9.39873E-07,1.06047E-06,1.26405E-06,1.04244E-06,1.17727E-06
Amortise opt. 51,1.00807E-06,1.03354E-06,9.98532E-07,1.00279E-06,9.33269E-07,9.73714E-07,1.04448E-06,1.01827E-06,9.105E-07,1.02275E-06,9.84764E-07,1.12144E-06,1.03949E-06,1.03583E-06,1.00189E-06,9.6522E-07,1.02407E-06,1.26261E-06,1.00615E-06,1.17693E-06
Amortise opt. 52,1.00304E-06,1.01897E-06,9.88112E-07,1.03074E-06,9.33659E-07,1.04509E-06,1.03495E-06,9.87148E-07,9.23975E-07,9.29015E-07,1.0178E-06,1.08948E-06,9.88527E-07,1.0841E-06,1.00983E-06,9.68011E-07,1.02505E-06,1.30138E-06,1.0125E-06,1.17796E-06
Amortise opt. 53,9.94096E-07,1.03076E-06,1.00049E-06,9.66396E-07,9.54279E-07,1.08347E-06,1.03531E-06,9.92635E-07,9.03207E-07,9.25781E-07,1.04277E-06,1.10572E-06,1.00437E-06,1.0947E-06,3.25928E-06,1.00263E-06,1.01704E-06,1.31805E-06,1.00256E-06,1.17354E-06
Amortise opt. 54,9.62088E-07,1.02055E-06,1.00315E-06,9.66217E-07,1.02906E-06,1.05071E-06,1.03581E-06,1.00736E-06,9.0637E-07,9.06479E-07,1.03466E-06,1.13781E-06,9.80885E-07,1.08377E-06,3.25924E-06,1.00541E-06,1.01456E-06,1.26458E-06,1.00172E-06,1.16554E-06
Amortise opt. 55,9.67421E-07,1.02479E-06,1.13572E-06,1.00578E-06,9.31629E-07,1.04649E-06,1.01928E-06,9.79686E-07,9.09053E-07,9.0546E-07,1.01574E-06,1.08839E-06,9.78323E-07,1.09776E-06,3.22651E-06,3.8955E-06,1.02233E-06,1.26243E-06,1.00368E-06,1.16474E-06
Amortise opt. 56,9.55456E-07,1.03074E-06,1.15753E-06,9.73135E-07,9.64797E-07,1.05033E-06,1.01851E-06,9.7811E-07,9.35553E-07,9.21152E-07,9.98156E-07,1.10934E-06,9.85187E-07,1.0874E-06,3.23283E-06,1.06723E-06,1.0672E-06,1.16322E-06,1.00273E-06,1.16552E-06
Amortise opt. 57,1.0285E-06,1.02082E-06,1.13543E-06,1.00508E-06,9.17012E-07,1.04705E-06,1.00244E-06,9.92277E-07,1.13213E-06,9.0809E-07,9.98452E-07,1.14401E-06,1.03563E-06,1.06273E-06,3.24223E-06,1.07574E-06,1.13559E-06,1.15764E-06,9.97869E-07,1.1668E-06
Amortise opt. 58,9.86231E-07,1.02722E-06,1.13383E-06,1.03278E-06,9.151E-07,1.11017E-06,9.99654E-07,9.80711E-07,1.15518E-06,1.12724E-06,1.03591E-06,1.13869E-06,1.00321E-06,1.07794E-06,1.04327E-06,1.03543E-06,1.14396E-06,1.16007E-06,1.00879E-06,1.0716E-06
Amortise opt. 59,9.89608E-07,1.02164E-06,1.13394E-06,9.67844E-07,9.10551E-07,1.11517E-06,1.01118E-06,1.00587E-06,1.13745E-06,1.12915E-06,9.78423E-07,1.13872E-06,9.24759E-07,1.01219E-06,1.05565E-06,1.03636E-06,1.12821E-06,1.15867E-06,1.02654E-06,1.01256E-06
